"spam_url","old_site_status","new_site_status","handling","source"
"https://kraftboxpack.com/casino/","410","410","410 Gone at the edge","Injected into the compromised WordPress install; listed in the old robots.txt ""Block spam paths"" section"
"https://kraftboxpack.com/slot/","410","410","410 Gone at the edge","Injected into the compromised WordPress install; listed in the old robots.txt ""Block spam paths"" section"
"https://kraftboxpack.com/pokie/","410","410","410 Gone at the edge","Injected into the compromised WordPress install; listed in the old robots.txt ""Block spam paths"" section"
"https://kraftboxpack.com/judi/","404","410","410 Gone at the edge","Injected into the compromised WordPress install; listed in the old robots.txt ""Block spam paths"" section"
"https://kraftboxpack.com/togel/","404","410","410 Gone at the edge","Injected into the compromised WordPress install; listed in the old robots.txt ""Block spam paths"" section"
"https://kraftboxpack.com/sbobet/","404","410","410 Gone at the edge","Injected into the compromised WordPress install; listed in the old robots.txt ""Block spam paths"" section"
"https://kraftboxpack.com/poker/","404","410","410 Gone at the edge","Injected into the compromised WordPress install; listed in the old robots.txt ""Block spam paths"" section"
"https://kraftboxpack.com/bandar/","404","410","410 Gone at the edge","Injected into the compromised WordPress install; listed in the old robots.txt ""Block spam paths"" section"
"https://kraftboxpack.com/slot-gacor/","410","410","410 Gone at the edge","Injected into the compromised WordPress install; listed in the old robots.txt ""Block spam paths"" section"
"https://kraftboxpack.com/casino-online/","410","410","410 Gone at the edge","Injected into the compromised WordPress install; listed in the old robots.txt ""Block spam paths"" section"
